順序,日期,水位,i=1,,i=2,,i=5,,i=10,,i=30,,i=60,,i=90,,i=120,,i=360,
227,2014/8/15,531.04,531.04,531.03,531.04,531.03,531.04,531.07,531.04,531.01,531.04,530.96,531.04,531.06,531.04,530.94,531.04,530.97,,
228,2014/8/16,531.03,531.03,531.03,531.03,531.02,531.03,531.04,531.03,531,531.03,530.95,531.03,531.03,531.03,530.97,531.03,530.96,,
229,2014/8/17,531.03,531.03,531.02,531.03,531.04,531.03,531.03,531.03,531,531.03,530.94,531.03,531.02,531.03,530.99,531.03,530.96,,
230,2014/8/18,531.02,531.02,531.04,531.02,531.07,531.02,531.02,531.02,531,531.02,530.94,531.02,531.01,531.02,530.99,531.02,530.96,,
231,2014/8/19,531.04,531.04,531.07,531.04,531.04,531.04,531.01,531.04,530.99,531.04,530.93,531.04,531,531.04,531.03,531.04,530.95,,
232,2014/8/20,531.07,531.07,531.04,531.07,531.03,531.07,531.01,531.07,530.99,531.07,530.93,531.07,531,531.07,531.1,531.07,530.94,,
233,2014/8/21,531.04,531.04,531.03,531.04,531.02,531.04,531,531.04,530.99,531.04,530.93,531.04,530.99,531.04,531.06,531.04,530.94,,
234,2014/8/22,531.03,531.03,531.02,531.03,531.01,531.03,531,531.03,530.98,531.03,530.95,531.03,530.99,531.03,531.03,531.03,530.94,,
235,2014/8/23,531.02,531.02,531.01,531.02,531.01,531.02,531,531.02,530.98,531.02,531.08,531.02,530.98,531.02,531.01,531.02,530.93,,
236,2014/8/24,531.01,531.01,531.01,531.01,531,531.01,530.99,531.01,530.98,531.01,531,531.01,530.98,531.01,530.99,531.01,530.93,,
237,2014/8/25,531.01,531.01,531,531.01,531,531.01,530.99,531.01,530.97,531.01,531.09,531.01,530.98,531.01,530.98,531.01,530.93,,
238,2014/8/26,531,531,531,531,531,531,530.99,531,530.97,531,531.15,531,530.97,531,530.98,531,530.93,,
239,2014/8/27,531,531,531,531,530.99,531,530.98,531,530.96,531,531.07,531,530.96,531,530.97,531,530.93,,
240,2014/8/28,531,531,530.99,531,530.99,531,530.98,531,530.96,531,531.04,531,530.96,531,530.96,531,530.93,,
241,2014/8/29,530.99,530.99,530.99,530.99,530.99,530.99,530.98,530.99,530.96,530.99,531.02,530.99,530.96,530.99,530.96,530.99,530.94,,
242,2014/8/30,530.99,530.99,530.99,530.99,530.98,530.99,530.97,530.99,530.95,530.99,531.01,530.99,530.96,530.99,530.95,530.99,531.01,,
243,2014/8/31,530.99,530.99,530.98,530.99,530.98,530.99,530.97,530.99,530.96,530.99,531,530.99,530.96,530.99,530.94,530.99,530.98,,
244,2014/9/1,530.98,530.98,530.98,530.98,530.98,530.98,530.96,530.98,530.96,530.98,530.99,530.98,530.95,530.98,530.94,530.98,530.96,,
245,2014/9/2,530.98,530.98,530.98,530.98,530.97,530.98,530.96,530.98,530.97,530.98,530.99,530.98,530.94,530.98,530.94,530.98,530.95,,
246,2014/9/3,530.98,530.98,530.97,530.98,530.97,530.98,530.96,530.98,530.99,530.98,530.99,530.98,530.94,530.98,530.96,530.98,530.94,,
247,2014/9/4,530.97,530.97,530.97,530.97,530.96,530.97,530.95,530.97,530.96,530.97,530.98,530.97,530.95,530.97,530.95,,,,
248,2014/9/5,530.97,530.97,530.96,530.97,530.96,530.97,530.96,530.97,530.95,530.97,530.98,530.97,530.94,530.97,530.96,,,,
249,2014/9/6,530.96,530.96,530.96,530.96,530.96,530.96,530.96,530.96,530.94,530.96,530.97,530.96,530.94,530.96,530.96,,,,
250,2014/9/7,530.96,530.96,530.96,530.96,530.95,530.96,530.97,530.96,530.94,530.96,530.96,530.96,530.94,530.96,530.94,,,,
251,2014/9/8,530.96,530.96,530.95,530.96,530.96,530.96,530.99,530.96,530.93,530.96,530.96,530.96,530.93,530.96,530.94,,,,
252,2014/9/9,530.95,530.95,530.96,530.95,530.96,530.95,530.96,530.95,530.93,530.95,530.96,530.95,530.94,530.95,530.93,,,,
253,2014/9/10,530.96,530.96,530.96,530.96,530.97,530.96,530.95,530.96,530.93,530.96,530.96,530.96,530.93,530.96,531,,,,
254,2014/9/11,530.96,530.96,530.97,530.96,530.99,530.96,530.94,530.96,530.95,530.96,531.05,530.96,530.94,530.96,531,,,,
255,2014/9/12,530.97,530.97,530.99,530.97,530.96,530.97,530.94,530.97,531.08,530.97,531.13,530.97,530.94,530.97,530.98,,,,
256,2014/9/13,530.99,530.99,530.96,530.99,530.95,530.99,530.93,530.99,531,530.99,531.09,530.99,530.93,530.99,530.98,,,,
257,2014/9/14,530.96,530.96,530.95,530.96,530.94,530.96,530.93,530.96,531.09,530.96,531.06,530.96,530.94,530.96,530.97,,,,
258,2014/9/15,530.95,530.95,530.94,530.95,530.94,530.95,530.93,530.95,531.15,530.95,531.03,530.95,530.97,530.95,530.96,,,,
259,2014/9/16,530.94,530.94,530.94,530.94,530.93,530.94,530.95,530.94,531.07,530.94,531.02,530.94,530.99,530.94,530.96,,,,
260,2014/9/17,530.94,530.94,530.93,530.94,530.93,530.94,531.08,530.94,531.04,530.94,531.01,530.94,530.99,530.94,530.96,,,,
261,2014/9/18,530.93,530.93,530.93,530.93,530.93,530.93,531,530.93,531.02,530.93,531,530.93,531.03,530.93,530.95,,,,
262,2014/9/19,530.93,530.93,530.93,530.93,530.95,530.93,531.09,530.93,531.01,530.93,531,530.93,531.1,530.93,530.94,,,,
263,2014/9/20,530.93,530.93,530.95,530.93,531.08,530.93,531.15,530.93,531,530.93,530.99,530.93,531.06,530.93,530.94,,,,
264,2014/9/21,530.95,530.95,531.08,530.95,531,530.95,531.07,530.95,530.99,530.95,530.99,530.95,531.03,530.95,530.94,,,,
265,2014/9/22,531.08,531.08,531,531.08,531.09,531.08,531.04,531.08,530.99,531.08,530.98,531.08,531.01,531.08,530.93,,,,
266,2014/9/23,531,531,531.09,531,531.15,531,531.02,531,530.99,531,530.98,531,530.99,531,530.93,,,,
267,2014/9/24,531.09,531.09,531.15,531.09,531.07,531.09,531.01,531.09,530.98,531.09,530.98,531.09,530.98,531.09,530.93,,,,
268,2014/9/25,531.15,531.15,531.07,531.15,531.04,531.15,531,531.15,530.98,531.15,530.97,531.15,530.98,531.15,530.93,,,,
269,2014/9/26,531.07,531.07,531.04,531.07,531.02,531.07,530.99,531.07,530.97,531.07,530.96,531.07,530.97,531.07,530.93,,,,
270,2014/9/27,531.04,531.04,531.02,531.04,531.01,531.04,530.99,531.04,530.96,531.04,530.96,531.04,530.96,531.04,530.93,,,,
271,2014/9/28,531.02,531.02,531.01,531.02,531,531.02,530.99,531.02,530.96,531.02,530.96,531.02,530.96,531.02,530.94,,,,
272,2014/9/29,531.01,531.01,531,531.01,530.99,531.01,530.98,531.01,530.96,531.01,530.96,531.01,530.95,531.01,531.01,,,,
273,2014/9/30,531,531,530.99,531,530.99,531,530.98,531,530.96,531,530.96,531,530.94,531,530.98,,,,
274,2014/10/1,530.99,530.99,530.99,530.99,530.99,530.99,530.97,530.99,531.05,530.99,530.95,530.99,530.94,530.99,530.96,,,,
275,2014/10/2,530.99,530.99,530.99,530.99,530.98,530.99,530.96,530.99,531.13,530.99,530.94,530.99,530.94,530.99,530.95,,,,
276,2014/10/3,530.99,530.99,530.98,530.99,530.98,530.99,530.96,530.99,531.09,530.99,530.94,530.99,530.96,530.99,530.94,,,,
277,2014/10/4,530.98,530.98,530.98,530.98,530.97,530.98,530.96,530.98,531.06,530.98,530.95,530.98,530.95,,,,,,
278,2014/10/5,530.98,530.98,530.97,530.98,530.96,530.98,530.96,530.98,531.03,530.98,530.94,530.98,530.96,,,,,,
279,2014/10/6,530.97,530.97,530.96,530.97,530.96,530.97,531.05,530.97,531.02,530.97,530.94,530.97,530.96,,,,,,
280,2014/10/7,530.96,530.96,530.96,530.96,530.96,530.96,531.13,530.96,531.01,530.96,530.94,530.96,530.94,,,,,,
281,2014/10/8,530.96,530.96,530.96,530.96,530.96,530.96,531.09,530.96,531,530.96,530.93,530.96,530.94,,,,,,
282,2014/10/9,530.96,530.96,530.96,530.96,531.05,530.96,531.06,530.96,531,530.96,530.94,530.96,530.93,,,,,,
283,2014/10/10,530.96,530.96,531.05,530.96,531.13,530.96,531.03,530.96,530.99,530.96,530.93,530.96,531,,,,,,
284,2014/10/11,531.05,531.05,531.13,531.05,531.09,531.05,531.02,531.05,530.99,531.05,530.94,531.05,531,,,,,,
285,2014/10/12,531.13,531.13,531.09,531.13,531.06,531.13,531.01,531.13,530.98,531.13,530.94,531.13,530.98,,,,,,
286,2014/10/13,531.09,531.09,531.06,531.09,531.03,531.09,531,531.09,530.98,531.09,530.93,531.09,530.98,,,,,,
287,2014/10/14,531.06,531.06,531.03,531.06,531.02,531.06,531,531.06,530.98,531.06,530.94,531.06,530.97,,,,,,
288,2014/10/15,531.03,531.03,531.02,531.03,531.01,531.03,530.99,531.03,530.97,531.03,530.97,531.03,530.96,,,,,,
289,2014/10/16,531.02,531.02,531.01,531.02,531,531.02,530.99,531.02,530.96,531.02,530.99,531.02,530.96,,,,,,
290,2014/10/17,531.01,531.01,531,531.01,531,531.01,530.98,531.01,530.96,531.01,530.99,531.01,530.96,,,,,,
291,2014/10/18,531,531,531,531,530.99,531,530.98,531,530.96,531,531.03,531,530.95,,,,,,
292,2014/10/19,531,531,530.99,531,530.99,531,530.98,531,530.96,531,531.1,531,530.94,,,,,,
293,2014/10/20,530.99,530.99,530.99,530.99,530.98,530.99,530.97,530.99,530.96,530.99,531.06,530.99,530.94,,,,,,
294,2014/10/21,530.99,530.99,530.98,530.99,530.98,530.99,530.96,530.99,530.95,530.99,531.03,530.99,530.94,,,,,,
295,2014/10/22,530.98,530.98,530.98,530.98,530.98,530.98,530.96,530.98,530.94,530.98,531.01,530.98,530.93,,,,,,
296,2014/10/23,530.98,530.98,530.98,530.98,530.97,530.98,530.96,530.98,530.94,530.98,530.99,530.98,530.93,,,,,,
297,2014/10/24,530.98,530.98,530.97,530.98,530.96,530.98,530.96,530.98,530.95,530.98,530.98,530.98,530.93,,,,,,
298,2014/10/25,530.97,530.97,530.96,530.97,530.96,530.97,530.96,530.97,530.94,530.97,530.98,530.97,530.93,,,,,,
299,2014/10/26,530.96,530.96,530.96,530.96,530.96,530.96,530.95,530.96,530.94,530.96,530.97,530.96,530.93,,,,,,
300,2014/10/27,530.96,530.96,530.96,530.96,530.96,530.96,530.94,530.96,530.94,530.96,530.96,530.96,530.93,,,,,,
301,2014/10/28,530.96,530.96,530.96,530.96,530.96,530.96,530.94,530.96,530.93,530.96,530.96,530.96,530.94,,,,,,
302,2014/10/29,530.96,530.96,530.96,530.96,530.95,530.96,530.95,530.96,530.94,530.96,530.95,530.96,531.01,,,,,,
303,2014/10/30,530.96,530.96,530.95,530.96,530.94,530.96,530.94,530.96,530.93,530.96,530.94,530.96,530.98,,,,,,
304,2014/10/31,530.95,530.95,530.94,530.95,530.94,530.95,530.94,530.95,530.94,530.95,530.94,530.95,530.96,,,,,,
305,2014/11/1,530.94,530.94,530.94,530.94,530.95,530.94,530.94,530.94,530.94,530.94,530.94,530.94,530.95,,,,,,
306,2014/11/2,530.94,530.94,530.95,530.94,530.94,530.94,530.93,530.94,530.93,530.94,530.96,530.94,530.94,,,,,,
307,2014/11/3,530.95,530.95,530.94,530.95,530.94,530.95,530.94,530.95,530.94,530.95,530.95,,,,,,,,
308,2014/11/4,530.94,530.94,530.94,530.94,530.94,530.94,530.93,530.94,530.97,530.94,530.96,,,,,,,,
309,2014/11/5,530.94,530.94,530.94,530.94,530.93,530.94,530.94,530.94,530.99,530.94,530.96,,,,,,,,
310,2014/11/6,530.94,530.94,530.93,530.94,530.94,530.94,530.94,530.94,530.99,530.94,530.94,,,,,,,,
311,2014/11/7,530.93,530.93,530.94,530.93,530.93,530.93,530.93,530.93,531.03,530.93,530.94,,,,,,,,
312,2014/11/8,530.94,530.94,530.93,530.94,530.94,530.94,530.94,530.94,531.1,530.94,530.93,,,,,,,,
313,2014/11/9,530.93,530.93,530.94,530.93,530.94,530.93,530.97,530.93,531.06,530.93,531,,,,,,,,
314,2014/11/10,530.94,530.94,530.94,530.94,530.93,530.94,530.99,530.94,531.03,530.94,531,,,,,,,,
315,2014/11/11,530.94,530.94,530.93,530.94,530.94,530.94,530.99,530.94,531.01,530.94,530.98,,,,,,,,
316,2014/11/12,530.93,530.93,530.94,530.93,530.97,530.93,531.03,530.93,530.99,530.93,530.98,,,,,,,,
317,2014/11/13,530.94,530.94,530.97,530.94,530.99,530.94,531.1,530.94,530.98,530.94,530.97,,,,,,,,
318,2014/11/14,530.97,530.97,530.99,530.97,530.99,530.97,531.06,530.97,530.98,530.97,530.96,,,,,,,,
319,2014/11/15,530.99,530.99,530.99,530.99,531.03,530.99,531.03,530.99,530.97,530.99,530.96,,,,,,,,
320,2014/11/16,530.99,530.99,531.03,530.99,531.1,530.99,531.01,530.99,530.96,530.99,530.96,,,,,,,,
321,2014/11/17,531.03,531.03,531.1,531.03,531.06,531.03,530.99,531.03,530.96,531.03,530.95,,,,,,,,
322,2014/11/18,531.1,531.1,531.06,531.1,531.03,531.1,530.98,531.1,530.95,531.1,530.94,,,,,,,,
323,2014/11/19,531.06,531.06,531.03,531.06,531.01,531.06,530.98,531.06,530.94,531.06,530.94,,,,,,,,
324,2014/11/20,531.03,531.03,531.01,531.03,530.99,531.03,530.97,531.03,530.94,531.03,530.94,,,,,,,,
325,2014/11/21,531.01,531.01,530.99,531.01,530.98,531.01,530.96,531.01,530.94,531.01,530.93,,,,,,,,
326,2014/11/22,530.99,530.99,530.98,530.99,530.98,530.99,530.96,530.99,530.96,530.99,530.93,,,,,,,,
327,2014/11/23,530.98,530.98,530.98,530.98,530.97,530.98,530.95,530.98,530.95,530.98,530.93,,,,,,,,
328,2014/11/24,530.98,530.98,530.97,530.98,530.96,530.98,530.94,530.98,530.96,530.98,530.93,,,,,,,,
329,2014/11/25,530.97,530.97,530.96,530.97,530.96,530.97,530.94,530.97,530.96,530.97,530.93,,,,,,,,
330,2014/11/26,530.96,530.96,530.96,530.96,530.95,530.96,530.94,530.96,530.94,530.96,530.93,,,,,,,,
331,2014/11/27,530.96,530.96,530.95,530.96,530.94,530.96,530.96,530.96,530.94,530.96,530.94,,,,,,,,
332,2014/11/28,530.95,530.95,530.94,530.95,530.94,530.95,530.95,530.95,530.93,530.95,531.01,,,,,,,,
333,2014/11/29,530.94,530.94,530.94,530.94,530.94,530.94,530.96,530.94,531,530.94,530.98,,,,,,,,
334,2014/11/30,530.94,530.94,530.94,530.94,530.96,530.94,530.96,530.94,531,530.94,530.96,,,,,,,,
335,2014/12/1,530.94,530.94,530.96,530.94,530.95,530.94,530.94,530.94,530.98,530.94,530.95,,,,,,,,
336,2014/12/2,530.96,530.96,530.95,530.96,530.96,530.96,530.94,530.96,530.98,530.96,530.94,,,,,,,,
337,2014/12/3,530.95,530.95,530.96,530.95,530.96,530.95,530.93,530.95,530.97,,,,,,,,,,
338,2014/12/4,530.96,530.96,530.96,530.96,530.94,530.96,531,530.96,530.96,,,,,,,,,,
339,2014/12/5,530.96,530.96,530.94,530.96,530.94,530.96,531,530.96,530.96,,,,,,,,,,
340,2014/12/6,530.94,530.94,530.94,530.94,530.93,530.94,530.98,530.94,530.96,,,,,,,,,,
341,2014/12/7,530.94,530.94,530.93,530.94,531,530.94,530.98,530.94,530.95,,,,,,,,,,
342,2014/12/8,530.93,530.93,531,530.93,531,530.93,530.97,530.93,530.94,,,,,,,,,,
343,2014/12/9,531,531,531,531,530.98,531,530.96,531,530.94,,,,,,,,,,
344,2014/12/10,531,531,530.98,531,530.98,531,530.96,531,530.94,,,,,,,,,,
345,2014/12/11,530.98,530.98,530.98,530.98,530.97,530.98,530.96,530.98,530.93,,,,,,,,,,
346,2014/12/12,530.98,530.98,530.97,530.98,530.96,530.98,530.95,530.98,530.93,,,,,,,,,,
347,2014/12/13,530.97,530.97,530.96,530.97,530.96,530.97,530.94,530.97,530.93,,,,,,,,,,
348,2014/12/14,530.96,530.96,530.96,530.96,530.96,530.96,530.94,530.96,530.93,,,,,,,,,,
349,2014/12/15,530.96,530.96,530.96,530.96,530.95,530.96,530.94,530.96,530.93,,,,,,,,,,
350,2014/12/16,530.96,530.96,530.95,530.96,530.94,530.96,530.93,530.96,530.93,,,,,,,,,,
351,2014/12/17,530.95,530.95,530.94,530.95,530.94,530.95,530.93,530.95,530.94,,,,,,,,,,
352,2014/12/18,530.94,530.94,530.94,530.94,530.94,530.94,530.93,530.94,531.01,,,,,,,,,,
353,2014/12/19,530.94,530.94,530.94,530.94,530.93,530.94,530.93,530.94,530.98,,,,,,,,,,
354,2014/12/20,530.94,530.94,530.93,530.94,530.93,530.94,530.93,530.94,530.96,,,,,,,,,,
355,2014/12/21,530.93,530.93,530.93,530.93,530.93,530.93,530.93,530.93,530.95,,,,,,,,,,
356,2014/12/22,530.93,530.93,530.93,530.93,530.93,530.93,530.94,530.93,530.94,,,,,,,,,,
357,2014/12/23,530.93,530.93,530.93,530.93,530.93,530.93,531.01,,,,,,,,,,,,
358,2014/12/24,530.93,530.93,530.93,530.93,530.93,530.93,530.98,,,,,,,,,,,,
359,2014/12/25,530.93,530.93,530.93,530.93,530.94,530.93,530.96,,,,,,,,,,,,
360,2014/12/26,530.93,530.93,530.94,530.93,531.01,530.93,530.95,,,,,,,,,,,,
361,2014/12/27,530.94,530.94,531.01,530.94,530.98,530.94,530.94,,,,,,,,,,,,
362,2014/12/28,531.01,531.01,530.98,531.01,530.96,,,,,,,,,,,,,,
363,2014/12/29,530.98,530.98,530.96,530.98,530.95,,,,,,,,,,,,,,
364,2014/12/30,530.96,530.96,530.95,530.96,530.94,,,,,,,,,,,,,,
365,2014/12/31,530.95,530.95,530.94,,,,,,,,,,,,,,,,
366,2015/1/1,530.94,,,,,,,,,,,,,,,,,,
