時間,地點1,小客車交通量,小貨車交通量,大客車交通量,大貨車交通量,聯結車交通量,小客車車速,小貨車車速,大客車車速,大貨車車速,聯結車車速
1,0950,71.0,6.0,6.0,3.0,7.0,104.0,104.0,95.0,100.0,90.0
1,0956,107.0,11.0,3.0,8.0,6.0,108.0,100.0,90.0,93.0,88.0
1,0979,84.0,15.0,3.0,6.0,3.0,104.0,104.0,93.0,88.0,82.0
1,0980,56.0,5.0,5.0,2.0,4.0,100.0,100.0,93.0,95.0,86.0
1,0980,2.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0
1,0980,18.0,13.0,0.0,0.0,1.0,90.0,93.0,0.0,0.0,72.0
1,1045,90.0,12.0,2.0,2.0,0.0,104.0,106.0,95.0,82.0,0.0
1,1045,14.0,1.0,0.0,0.0,3.0,102.0,100.0,0.0,0.0,100.0
1,1045,3.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0
1,1045,50.0,8.0,3.0,1.0,2.0,102.0,100.0,93.0,104.0,93.0
1,1123,124.0,16.0,5.0,2.0,8.0,104.0,102.0,97.0,84.0,91.0
1,1123,57.0,8.0,4.0,1.0,2.0,104.0,109.0,88.0,93.0,79.0
1,1292,102.0,24.0,1.0,4.0,3.0,104.0,104.0,97.0,91.0,90.0
1,1292,62.0,9.0,7.0,3.0,0.0,102.0,108.0,90.0,86.0,0.0
1,1389,106.0,8.0,2.0,2.0,1.0,108.0,108.0,95.0,86.0,111.0
1,1389,76.0,12.0,5.0,3.0,3.0,104.0,102.0,86.0,90.0,93.0
1,1465,97.0,13.0,2.0,2.0,6.0,104.0,108.0,100.0,97.0,88.0
1,1465,51.0,8.0,2.0,3.0,3.0,104.0,102.0,90.0,90.0,90.0
1,1572,98.0,13.0,1.0,3.0,0.0,104.0,100.0,93.0,86.0,0.0
1,1572,56.0,8.0,4.0,1.0,1.0,108.0,97.0,91.0,90.0,100.0
1,1621,78.0,16.0,0.0,2.0,5.0,106.0,104.0,0.0,91.0,90.0
1,1621,58.0,4.0,6.0,2.0,0.0,108.0,97.0,91.0,106.0,0.0
1,1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1664,70.0,14.0,1.0,3.0,7.0,108.0,106.0,97.0,93.0,90.0
1,1664,13.0,1.0,0.0,0.0,0.0,100.0,93.0,0.0,0.0,0.0
1,1664,1.0,1.0,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0
1,1664,57.0,7.0,6.0,5.0,2.0,108.0,104.0,93.0,97.0,82.0
1,1699,88.0,13.0,3.0,1.0,6.0,108.0,104.0,97.0,86.0,81.0
1,1699,41.0,8.0,7.0,3.0,2.0,108.0,106.0,93.0,97.0,84.0
1,1774,81.0,10.0,2.0,7.0,4.0,108.0,109.0,99.0,90.0,84.0
1,1774,40.0,11.0,0.0,2.0,3.0,109.0,104.0,0.0,99.0,90.0
1,1802,63.0,14.0,4.0,5.0,6.0,111.0,111.0,90.0,90.0,91.0
1,1802,56.0,5.0,1.0,2.0,0.0,111.0,100.0,108.0,95.0,0.0
1,1839,90.0,21.0,6.0,4.0,4.0,111.0,108.0,95.0,93.0,91.0
1,1839,49.0,7.0,3.0,3.0,1.0,104.0,100.0,93.0,90.0,68.0
1,1906,98.0,13.0,3.0,5.0,5.0,108.0,104.0,97.0,93.0,86.0
1,1906,39.0,6.0,5.0,4.0,1.0,111.0,99.0,93.0,95.0,93.0
1,1906,2.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
1,1906,6.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0
1,1960,105.0,7.0,1.0,5.0,2.0,111.0,111.0,97.0,108.0,90.0
1,1960,23.0,6.0,0.0,0.0,6.0,86.0,81.0,0.0,0.0,64.0
1,1960,17.0,8.0,0.0,0.0,0.0,79.0,79.0,0.0,0.0,0.0
1,1960,62.0,10.0,6.0,2.0,4.0,111.0,109.0,91.0,102.0,82.0
1,2011,134.0,23.0,4.0,10.0,8.0,108.0,111.0,97.0,95.0,81.0
1,2011,71.0,11.0,2.0,2.0,6.0,111.0,104.0,95.0,90.0,86.0
1,2089,116.0,21.0,2.0,6.0,4.0,111.0,108.0,95.0,97.0,88.0
1,2089,60.0,11.0,4.0,1.0,5.0,111.0,108.0,90.0,100.0,86.0
1,2156,101.0,24.0,3.0,7.0,7.0,111.0,108.0,104.0,93.0,90.0
1,2156,64.0,10.0,4.0,4.0,2.0,111.0,102.0,91.0,93.0,90.0
1,2249,107.0,18.0,1.0,7.0,5.0,111.0,109.0,108.0,97.0,86.0
1,2249,55.0,11.0,3.0,4.0,3.0,108.0,100.0,104.0,91.0,75.0
1,2322,91.0,14.0,2.0,5.0,5.0,108.0,108.0,90.0,90.0,82.0
1,2322,49.0,11.0,3.0,3.0,5.0,111.0,104.0,97.0,104.0,82.0
1,2394,84.0,18.0,4.0,5.0,6.0,111.0,106.0,90.0,90.0,84.0
1,2394,44.0,9.0,4.0,3.0,3.0,113.0,104.0,97.0,108.0,86.0
1,2425,84.0,12.0,4.0,10.0,7.0,111.0,109.0,106.0,93.0,93.0
1,2425,46.0,13.0,3.0,4.0,3.0,115.0,108.0,100.0,99.0,86.0
1,2472,66.0,11.0,4.0,6.0,5.0,111.0,111.0,100.0,88.0,93.0
1,2472,52.0,16.0,5.0,4.0,3.0,108.0,100.0,93.0,90.0,82.0
1,2514,66.0,12.0,5.0,4.0,4.0,111.0,109.0,97.0,93.0,90.0
1,2514,36.0,10.0,5.0,3.0,4.0,108.0,111.0,97.0,90.0,86.0
1,2603,64.0,13.0,3.0,1.0,9.0,111.0,111.0,97.0,111.0,90.0
1,2603,28.0,12.0,2.0,7.0,2.0,111.0,109.0,91.0,93.0,88.0
1,2674,55.0,8.0,3.0,7.0,10.0,108.0,111.0,90.0,97.0,82.0
1,2674,40.0,11.0,1.0,2.0,1.0,108.0,108.0,93.0,95.0,86.0
1,2714,62.0,8.0,1.0,3.0,10.0,111.0,106.0,79.0,97.0,81.0
1,2714,75.0,6.0,1.0,9.0,2.0,108.0,104.0,97.0,90.0,82.0
1,2827,52.0,9.0,4.0,3.0,9.0,111.0,111.0,95.0,79.0,86.0
1,2827,66.0,15.0,2.0,7.0,5.0,108.0,97.0,97.0,97.0,82.0
1,2866,49.0,13.0,1.0,6.0,8.0,111.0,43.0,100.0,88.0,82.0
1,2866,60.0,13.0,2.0,2.0,4.0,111.0,111.0,93.0,97.0,81.0
1,2930,42.0,6.0,2.0,8.0,12.0,111.0,113.0,99.0,84.0,93.0
1,2930,83.0,13.0,2.0,5.0,0.0,108.0,108.0,93.0,90.0,0.0
1,3019,53.0,5.0,1.0,3.0,8.0,108.0,111.0,93.0,93.0,75.0
1,3019,72.0,15.0,4.0,3.0,3.0,111.0,111.0,95.0,90.0,79.0
1,3083,47.0,13.0,0.0,5.0,5.0,115.0,108.0,0.0,97.0,75.0
1,3083,66.0,18.0,2.0,2.0,2.0,111.0,113.0,93.0,84.0,59.0
1,3126,66.0,10.0,2.0,6.0,12.0,113.0,109.0,100.0,97.0,82.0
1,3126,79.0,12.0,2.0,2.0,1.0,104.0,100.0,95.0,95.0,64.0
1,3126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3126,5.0,1.0,0.0,0.0,0.0,93.0,90.0,0.0,0.0,0.0
1,3185,61.0,13.0,3.0,5.0,29.0,111.0,108.0,97.0,75.0,82.0
1,3185,3.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0
1,3185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3185,66.0,5.0,6.0,2.0,4.0,111.0,104.0,97.0,95.0,91.0
1,3227,63.0,11.0,3.0,5.0,7.0,111.0,100.0,97.0,79.0,86.0
1,3227,58.0,15.0,3.0,4.0,4.0,115.0,111.0,97.0,104.0,86.0
1,3252,50.0,6.0,1.0,4.0,3.0,108.0,100.0,93.0,81.0,82.0
1,3252,54.0,13.0,0.0,2.0,5.0,108.0,111.0,0.0,86.0,86.0
1,3286,43.0,8.0,1.0,1.0,6.0,108.0,99.0,75.0,75.0,75.0
1,3286,62.0,13.0,0.0,1.0,3.0,111.0,108.0,0.0,108.0,90.0
1,3366,51.0,5.0,0.0,2.0,7.0,104.0,104.0,0.0,75.0,75.0
1,3366,79.0,15.0,2.0,1.0,3.0,115.0,111.0,97.0,97.0,86.0
1,3398,55.0,14.0,0.0,2.0,9.0,115.0,104.0,0.0,100.0,90.0
1,3398,66.0,15.0,3.0,1.0,2.0,111.0,108.0,97.0,100.0,81.0
1,3460,58.0,11.0,1.0,2.0,11.0,111.0,104.0,97.0,93.0,86.0
1,3460,75.0,8.0,3.0,3.0,4.0,108.0,108.0,97.0,86.0,84.0
1,3535,60.0,13.0,4.0,1.0,4.0,104.0,104.0,81.0,79.0,72.0
1,3535,73.0,10.0,0.0,2.0,4.0,104.0,104.0,0.0,88.0,90.0
1,3559,51.0,12.0,0.0,0.0,8.0,104.0,95.0,0.0,0.0,72.0
1,3561,79.0,13.0,0.0,0.0,3.0,104.0,108.0,0.0,0.0,93.0
1,3590,45.0,8.0,0.0,2.0,8.0,104.0,97.0,0.0,79.0,68.0
1,3590,71.0,9.0,0.0,2.0,1.0,104.0,100.0,0.0,93.0,75.0
1,3590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3640,60.0,15.0,0.0,2.0,3.0,100.0,100.0,0.0,97.0,72.0
1,3640,2.0,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0
1,3640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3640,47.0,12.0,1.0,2.0,2.0,104.0,95.0,93.0,91.0,86.0
1,3676,63.0,12.0,1.0,1.0,5.0,104.0,97.0,111.0,90.0,79.0
1,3676,54.0,8.0,0.0,2.0,3.0,100.0,100.0,0.0,91.0,86.0
1,3686,2.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0
1,3696,55.0,8.0,2.0,0.0,6.0,97.0,90.0,99.0,0.0,86.0
1,3736,0.0,1.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0
1,0163,25.0,6.0,0.0,1.0,0.0,100.0,109.0,0.0,93.0,0.0
1,0174,15.0,4.0,0.0,0.0,0.0,111.0,113.0,0.0,0.0,0.0
1,0174,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,0174,4.0,1.0,0.0,0.0,0.0,111.0,115.0,0.0,0.0,0.0
1,0200,33.0,3.0,0.0,1.0,0.0,100.0,93.0,0.0,75.0,0.0
1,0206,51.0,5.0,0.0,0.0,0.0,100.0,93.0,0.0,0.0,0.0
1,0208,43.0,10.0,0.0,0.0,0.0,100.0,97.0,0.0,0.0,0.0
1,0271,54.0,16.0,0.0,0.0,0.0,100.0,95.0,0.0,0.0,0.0
1,0305,23.0,5.0,1.0,0.0,0.0,100.0,97.0,93.0,0.0,0.0
1,0305,33.0,7.0,0.0,0.0,0.0,97.0,90.0,0.0,0.0,0.0
1,0333,36.0,10.0,0.0,0.0,0.0,100.0,93.0,0.0,0.0,0.0
1,0334,28.0,6.0,0.0,0.0,0.0,99.0,104.0,0.0,0.0,0.0
1,0447,73.0,11.0,4.0,0.0,0.0,97.0,93.0,84.0,0.0,0.0
1,0447,45.0,7.0,0.0,0.0,0.0,100.0,97.0,0.0,0.0,0.0
1,0447,44.0,5.0,2.0,0.0,0.0,100.0,104.0,95.0,0.0,0.0
1,0579,47.0,16.0,0.0,0.0,0.0,82.0,82.0,0.0,0.0,0.0
1,0579,17.0,5.0,0.0,0.0,0.0,100.0,104.0,0.0,0.0,0.0
1,0579,34.0,9.0,2.0,0.0,0.0,100.0,100.0,95.0,0.0,0.0
1,0608,23.0,4.0,1.0,1.0,0.0,108.0,109.0,97.0,90.0,0.0
1,0608,36.0,5.0,0.0,0.0,0.0,104.0,104.0,0.0,0.0,0.0
1,0610,50.0,8.0,0.0,0.0,0.0,100.0,93.0,0.0,0.0,0.0
2,0005,26.0,5.0,0.0,0.0,0.0,93.0,97.0,0.0,0.0,0.0
2,0017,0.0,3.0,2.0,0.0,0.0,0.0,90.0,84.0,0.0,0.0
2,0017,29.0,6.0,0.0,0.0,0.0,93.0,93.0,0.0,0.0,0.0
2,0029,23.0,7.0,1.0,0.0,0.0,93.0,93.0,93.0,0.0,0.0
2,0029,22.0,9.0,0.0,4.0,0.0,95.0,97.0,0.0,90.0,0.0
2,0061,27.0,7.0,1.0,0.0,0.0,100.0,93.0,90.0,0.0,0.0
2,0061,30.0,12.0,1.0,4.0,2.0,93.0,100.0,90.0,88.0,73.0
2,0099,58.0,12.0,2.0,2.0,0.0,100.0,93.0,93.0,82.0,0.0
2,0099,13.0,6.0,0.0,4.0,1.0,93.0,88.0,0.0,90.0,90.0
