2024年4月,,,,,,
編號,地震時間,經度,緯度,規模,深度,位置
182,2024/4/9 06:14,121.705,23.9917,4.9,16.4,花蓮縣政府東方  8.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 05:59,121.846,24.1325,3.7,19.3,花蓮縣政府東北東方  27.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 04:54,121.9,24.255,3.7,9.9,花蓮縣政府東北方  40.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/9 03:42,121.688,24.1158,3.6,16.8,花蓮縣政府北北東方  15.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 03:12,121.821,24.2743,3.1,10.2,花蓮縣政府東北方  37.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 02:19,121.626,23.8338,3.4,12.1,花蓮縣政府南方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
181,2024/4/9 02:02,121.682,23.9438,5.3,24.6,花蓮縣政府東南方  8.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/9 02:01,121.72,24.2633,3.2,13.7,花蓮縣政府北北東方  31.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/9 01:38,121.985,24.325,3.4,14.5,宜蘭縣政府南南東方  50.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/8 22:14,121.606,23.9568,3.7,40.3,花蓮縣政府南南西方  4.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 21:46,121.89,24.4908,3.3,9.4,宜蘭縣政府南南東方  29.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2024/4/8 21:28,121.808,24.264,3.2,11.3,花蓮縣政府東北方  35.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 21:03,121.656,24.189,3.6,30.9,花蓮縣政府北方  22.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 20:23,121.566,24.0157,3.9,6.7,花蓮縣政府西北西方  6.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 20:22,121.582,23.7905,3.4,7.3,花蓮縣政府南方  22.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 19:48,121.838,24.2903,3.5,8.4,花蓮縣政府東北方  39.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 19:33,121.728,24.2618,3.1,13.5,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 19:15,120.635,23.3293,3.7,8.5,嘉義縣政府東南東方  37.8  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2024/4/8 18:20,121.625,24.0908,3.3,5.7,花蓮縣政府北方  11.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 18:18,121.599,23.812,3.6,31.2,花蓮縣政府南方  19.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 17:35,121.563,24.0137,3.3,6.1,花蓮縣政府西北西方  6.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 17:24,121.85,24.3008,3.3,12.1,花蓮縣政府東北方  41.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 17:19,121.669,24.2262,4.3,18.8,花蓮縣政府北北東方  26.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 16:52,121.602,23.9368,3.5,30.2,花蓮縣政府南南西方  6.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/8 16:50,121.744,24.2602,3.7,11.8,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣近海)(花蓮縣近海)
180,2024/4/8 16:45,121.644,23.9463,4.5,35.4,花蓮縣政府南南東方  5.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 16:44,121.64,23.9538,4,33.6,花蓮縣政府南南東方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 16:14,121.701,24.1755,3.9,9.7,花蓮縣政府北北東方  22.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 16:00,121.689,24.2517,3.3,20.1,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 15:12,121.832,24.2063,3.3,20.4,花蓮縣政府東北方  32.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/8 15:00,121.757,24.2178,3.3,14.2,花蓮縣政府北北東方  28.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 14:11,121.571,24.0133,3.3,6,花蓮縣政府西北西方  5.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 14:02,121.534,23.8223,3.7,21.1,花蓮縣政府南南西方  20.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/8 13:23,121.839,24.2088,3.6,22.9,花蓮縣政府東北方  32.8  公里 (位於臺灣東部海域)(臺灣東部海域)
179,2024/4/8 13:09,121.829,24.2088,5.1,5.1,花蓮縣政府東北方  32.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/8 12:49,121.74,24.3032,3.3,17.4,花蓮縣政府北北東方  36.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 12:26,121.687,24.2472,3.1,13.2,花蓮縣政府北北東方  29.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 12:23,121.708,24.2362,3.3,12.9,花蓮縣政府北北東方  28.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 11:31,121.705,24.2353,3.2,12.8,花蓮縣政府北北東方  28.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 11:28,121.713,24.2332,3.3,13.2,花蓮縣政府北北東方  28.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 09:46,121.841,24.2543,3.9,23.2,花蓮縣政府東北方  36.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/8 09:31,121.554,24.0108,3.3,6.2,花蓮縣政府西北西方  7.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
178,2024/4/8 07:28,121.847,24.2467,4.3,24.2,花蓮縣政府東北方  36.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/8 07:03,121.553,24.0068,3.5,6.3,花蓮縣政府西北西方  7.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
177,2024/4/8 06:49,121.824,24.2422,4.8,16.8,花蓮縣政府東北方  34.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/8 06:48,121.716,24.2683,3.2,13.1,花蓮縣政府北北東方  32.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 06:40,121.75,24.2568,3.4,12.8,花蓮縣政府北北東方  32.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 06:30,121.522,23.8097,3.1,13.5,花蓮縣政府南南西方  22.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/8 05:00,121.715,24.2555,3,13.9,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 04:22,121.745,24.2297,3.5,14.7,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 04:21,121.599,23.8995,3.7,27.6,花蓮縣政府南南西方  10.4  公里 (位於花蓮縣近海)(花蓮縣近海)
176,2024/4/8 03:58,121.664,23.9368,4.6,37.2,花蓮縣政府東南方  7.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 03:47,121.712,24.2568,3.7,12.9,花蓮縣政府北北東方  30.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/8 02:12,121.605,24.022,4.3,18.3,花蓮縣政府北北西方  3.8  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
175,2024/4/8 02:12,121.836,24.2917,4.4,10.8,花蓮縣政府東北方  39.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 01:45,121.843,24.286,3.2,10.2,花蓮縣政府東北方  39.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/8 01:23,120.208,23.3628,3.9,9.6,嘉義縣政府西南方  13.7  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/8 01:03,121.534,23.78,3.7,17.6,花蓮縣政府南南西方  25.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/8 00:14,121.649,24.0282,3.6,28.9,花蓮縣政府東北方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
174,2024/4/7 23:35,121.851,24.2858,4,9.9,花蓮縣政府東北方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 23:17,121.626,24.076,3.3,7.9,花蓮縣政府北方  9.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 22:30,121.642,24.0285,3.7,25.5,花蓮縣政府北北東方  4.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 22:19,121.656,24.023,3.5,27.1,花蓮縣政府東北方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 22:13,121.958,24.1573,4.2,24.1,花蓮縣政府東北東方  39.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 21:46,121.679,24.1123,3.7,16.3,花蓮縣政府北北東方  14.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 21:21,121.626,24.0398,3.6,24.4,花蓮縣政府北方  5.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 20:47,121.746,24.2157,3.5,12.1,花蓮縣政府北北東方  28.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 20:08,121.742,24.253,3.1,12.1,花蓮縣政府北北東方  31.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 20:03,121.528,23.781,3.6,17.2,花蓮縣政府南南西方  25.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/7 19:49,121.758,24.2408,3.1,12.4,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 19:33,121.67,24.0277,4.3,39.3,花蓮縣政府東北方  6.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 19:27,121.704,24.2463,3.4,14.1,花蓮縣政府北北東方  29.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 19:24,121.697,23.8335,3.4,11.4,花蓮縣政府南南東方  19.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 19:01,121.573,24.0043,3.4,6.9,花蓮縣政府西北西方  5.0  公里 (位於花蓮縣花蓮市)(花蓮縣花蓮市)
小區域有感地震,2024/4/7 18:52,121.907,24.1937,3.8,23.2,花蓮縣政府東北方  36.8  公里 (位於臺灣東部海域)(臺灣東部海域)
173,2024/4/7 18:24,121.685,24.105,4.4,17.3,花蓮縣政府北北東方  14.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 18:17,121.729,24.2658,3.1,15.7,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 18:15,121.719,24.2723,3.5,13.4,花蓮縣政府北北東方  32.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
172,2024/4/7 18:01,121.965,24.1698,5.4,16.9,花蓮縣政府東北東方  40.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 17:49,121.848,24.216,3.9,6.4,花蓮縣政府東北方  34.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 16:05,121.662,24.1425,3.3,16,花蓮縣政府北北東方  17.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 15:45,121.716,24.1215,3.6,13.3,花蓮縣政府東北方  17.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 15:43,121.534,23.8028,3.9,17.1,花蓮縣政府南南西方  22.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/7 15:42,121.697,24.2493,3.6,13.9,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 14:10,121.75,24.1858,3.6,20.4,花蓮縣政府北北東方  25.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 13:00,121.715,24.0577,4.2,35.6,花蓮縣政府東北方  12.1  公里 (位於花蓮縣近海)(花蓮縣近海)
171,2024/4/7 12:48,121.555,23.838,4.2,19,花蓮縣政府南南西方  18.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
170,2024/4/7 12:43,121.616,23.9667,4.5,26.5,花蓮縣政府南方  2.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 12:21,121.769,24.2582,3.2,12.8,花蓮縣政府北北東方  33.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 12:21,121.555,23.8085,3.6,4.3,花蓮縣政府南南西方  21.3  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/7 11:45,121.545,23.7845,4,19.1,花蓮縣政府南南西方  24.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/7 11:31,121.759,24.2482,3.2,12.1,花蓮縣政府北北東方  31.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 10:52,121.736,24.116,3.9,29.2,花蓮縣政府東北方  18.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 10:38,121.715,24.2437,3.2,14.9,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣近海)(花蓮縣近海)
169,2024/4/7 10:06,121.755,24.2635,4.5,11.7,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 09:55,121.555,23.9445,3,11.1,花蓮縣政府西南方  8.4  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/7 09:55,121.704,24.2465,3.1,13.9,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 09:44,121.57,23.9343,3.5,7.2,花蓮縣政府西南方  8.1  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/7 08:45,121.575,23.8673,3.6,9.4,花蓮縣政府南南西方  14.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/7 08:40,121.696,24.1322,3.6,12.4,花蓮縣政府北北東方  17.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 08:36,121.569,23.9293,3.8,8.2,花蓮縣政府西南方  8.6  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/7 06:52,121.841,24.2,3.5,21.5,花蓮縣政府東北方  32.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 06:42,121.583,24.058,3.4,6.4,花蓮縣政府北北西方  8.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 06:41,121.772,24.213,3.6,9.4,花蓮縣政府東北方  29.0  公里 (位於臺灣東部海域)(臺灣東部海域)
168,2024/4/7 06:30,121.587,24.0573,4,5.9,花蓮縣政府北北西方  8.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 06:02,121.586,24.0577,3.4,6,花蓮縣政府北北西方  8.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
167,2024/4/7 05:50,121.699,24.2503,4.1,13.1,花蓮縣政府北北東方  29.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 05:45,121.699,24.2482,3.4,14.3,花蓮縣政府北北東方  29.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 05:42,121.633,24.1083,3,6.7,花蓮縣政府北方  13.1  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024/4/7 05:25,121.738,24.2565,3.6,12.3,花蓮縣政府北北東方  31.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 05:24,121.757,24.261,4.1,10.6,花蓮縣政府北北東方  33.0  公里 (位於花蓮縣近海)(花蓮縣近海)
166,2024/4/7 05:15,121.714,24.0403,5.1,13.8,花蓮縣政府東北東方  11.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 04:28,121.557,23.8592,3.3,7.9,花蓮縣政府南南西方  15.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/7 03:57,121.702,24.0258,3.3,25.5,花蓮縣政府東北東方  9.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 03:46,121.776,24.1962,3.6,7.2,花蓮縣政府東北方  27.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/7 01:56,121.749,24.2678,3.7,11.7,花蓮縣政府北北東方  33.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 01:49,121.589,23.9638,3.6,27.1,花蓮縣政府西南方  4.3  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/7 01:48,121.759,24.2772,3.7,14.2,花蓮縣政府北北東方  34.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 01:48,121.759,24.261,3.2,12.8,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 01:37,121.646,24.2003,3.5,27.3,花蓮縣政府北方  23.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/7 00:40,121.769,24.2765,3.8,11.7,花蓮縣政府北北東方  35.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/7 00:19,121.599,24.0537,3.4,6.3,花蓮縣政府北北西方  7.3  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024/4/7 00:05,121.739,24.2408,3.2,14.1,花蓮縣政府北北東方  30.2  公里 (位於花蓮縣近海)(花蓮縣近海)
165,2024/4/7 00:03,121.753,24.2258,4.1,13.3,花蓮縣政府北北東方  29.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 23:53,121.738,24.2695,3.8,12.6,花蓮縣政府北北東方  33.1  公里 (位於花蓮縣近海)(花蓮縣近海)
164,2024/4/6 23:53,121.855,24.1885,4.7,21.9,花蓮縣政府東北方  32.4  公里 (位於臺灣東部海域)(臺灣東部海域)
163,2024/4/6 23:46,121.751,24.2627,4,10.9,花蓮縣政府北北東方  32.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 23:45,121.769,24.263,3.9,11.9,花蓮縣政府北北東方  33.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 23:43,121.762,24.2622,3.4,15.3,花蓮縣政府北北東方  33.3  公里 (位於花蓮縣近海)(花蓮縣近海)
162,2024/4/6 23:43,121.754,24.2735,4.3,11.2,花蓮縣政府北北東方  34.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 23:11,121.536,23.8537,3.1,9.1,花蓮縣政府南南西方  17.4  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 23:09,121.676,24.231,3.2,14.4,花蓮縣政府北北東方  27.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/6 23:01,121.825,24.2633,3.4,21.5,花蓮縣政府東北方  36.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 22:55,121.732,24.2383,3.2,6.5,花蓮縣政府北北東方  29.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 22:53,121.821,24.262,3.7,24.6,花蓮縣政府東北方  36.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 22:09,121.533,23.8547,3.3,5.3,花蓮縣政府南南西方  17.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 22:02,121.606,23.9468,3.7,24,花蓮縣政府南南西方  5.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 21:35,121.739,24.2293,3.2,10.9,花蓮縣政府北北東方  29.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 21:31,121.744,24.2382,3.6,12,花蓮縣政府北北東方  30.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 21:29,121.78,24.1693,3.2,6.1,花蓮縣政府東北方  25.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 21:22,121.866,24.209,3.8,25.4,花蓮縣政府東北方  34.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 21:19,121.761,24.2337,4,13.4,花蓮縣政府北北東方  30.4  公里 (位於花蓮縣近海)(花蓮縣近海)
161,2024/4/6 21:17,121.742,24.24,4.7,10.5,花蓮縣政府北北東方  30.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 20:43,121.639,23.885,3.7,30.2,花蓮縣政府南方  11.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 20:39,121.75,24.25,3.4,11.2,花蓮縣政府北北東方  31.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 20:32,121.763,24.1163,3.6,29,花蓮縣政府東北方  20.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 19:53,121.863,24.2563,3.9,17.7,花蓮縣政府東北方  38.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 19:33,121.504,23.8625,3.8,6.1,花蓮縣政府西南方  18.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 19:29,121.739,24.2622,3.7,10.9,花蓮縣政府北北東方  32.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 19:25,121.76,24.2495,3.5,12.6,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 19:15,121.755,24.2507,3.1,11.8,花蓮縣政府北北東方  31.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 19:14,121.742,24.2515,3.2,11.2,花蓮縣政府北北東方  31.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 18:50,121.566,23.8627,3.1,5.2,花蓮縣政府南南西方  15.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 18:49,121.535,23.868,4,7.8,花蓮縣政府西南方  16.1  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
160,2024/4/6 18:47,121.713,23.9185,5.3,25.1,花蓮縣政府東南方  12.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 18:41,121.602,24.0545,3.7,6.9,花蓮縣政府北北西方  7.3  公里 (位於花蓮縣新城鄉)(花蓮縣新城鄉)
小區域有感地震,2024/4/6 18:08,121.758,24.2357,3.1,12.9,花蓮縣政府北北東方  30.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 17:33,121.723,24.1917,3.6,19,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 17:18,121.735,24.1865,3.5,18.7,花蓮縣政府北北東方  24.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 17:14,121.729,24.2508,3.8,10.1,花蓮縣政府北北東方  30.8  公里 (位於花蓮縣近海)(花蓮縣近海)
159,2024/4/6 17:07,121.738,24.2492,4.1,10.9,花蓮縣政府北北東方  31.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 16:17,121.711,24.1258,3.4,18.1,花蓮縣政府東北方  17.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 16:14,121.554,23.8523,3.8,8.7,花蓮縣政府南南西方  16.8  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
158,2024/4/6 16:10,121.556,23.8472,4.6,5.9,花蓮縣政府南南西方  17.2  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/6 15:55,121.705,24.1198,3.4,16,花蓮縣政府北北東方  16.7  公里 (位於花蓮縣近海)(花蓮縣近海)
157,2024/4/6 15:53,121.705,24.123,4.1,16.9,花蓮縣政府北北東方  17.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 14:52,121.609,23.8603,4.5,31.6,花蓮縣政府南方  14.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 14:39,121.711,24.1095,3.3,5.9,花蓮縣政府東北方  16.1  公里 (位於花蓮縣近海)(花蓮縣近海)
156,2024/4/6 14:02,121.748,23.9523,4.6,23.1,花蓮縣政府東南東方  13.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/6 13:48,121.516,23.7613,3.1,7.2,花蓮縣政府南南西方  27.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
155,2024/4/6 13:25,121.734,24.1837,4.2,20.5,花蓮縣政府北北東方  24.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 12:37,121.818,24.2623,3.4,22,花蓮縣政府東北方  36.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 12:30,121.727,24.2085,3.3,16.5,花蓮縣政府北北東方  26.4  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/6 12:00,121.725,24.1813,3.5,18.9,花蓮縣政府北北東方  23.6  公里 (位於花蓮縣近海)(花蓮縣近海)
