2024年4月,,,,,,
編號,地震時間,經度,緯度,規模,深度,位置
小區域有感地震,2024/4/15 16:17,121.54,23.8565,3.5,9.3,花蓮縣政府南南西方  17.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/15 12:18,121.741,24.206,3.2,16.4,花蓮縣政府北北東方  26.8  公里 (位於花蓮縣近海)(花蓮縣近海)
205,2024/4/15 07:10,121.751,24.2562,4,12.4,花蓮縣政府北北東方  32.3  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/15 05:38,121.726,24.2755,3,12.3,花蓮縣政府北北東方  33.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/15 03:01,121.56,23.9377,3.3,10.1,花蓮縣政府西南方  8.5  公里 (位於花蓮縣吉安鄉)(花蓮縣吉安鄉)
小區域有感地震,2024/4/15 01:47,121.71,23.9377,4.1,18.2,花蓮縣政府東南東方  10.9  公里 (位於臺灣東部海域)(臺灣東部海域)
204,2024/4/15 00:15,121.663,24.2137,4.2,8,花蓮縣政府北方  25.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
203,2024/4/14 22:37,121.983,24.3047,4.1,10,花蓮縣政府東北方  50.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 21:38,121.718,24.2067,3.1,8.9,花蓮縣政府北北東方  25.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/14 19:49,121.526,23.7547,3.4,7.1,花蓮縣政府南南西方  27.9  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/14 12:59,121.614,23.9688,3.6,27.2,花蓮縣政府南南西方  2.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/14 12:30,120.581,23.3428,3.3,8.3,嘉義縣政府東南東方  32.1  公里 (位於嘉義縣大埔鄉)(嘉義縣大埔鄉)
小區域有感地震,2024/4/14 11:39,121.474,23.7222,3.7,19.3,花蓮縣政府南南西方  33.3  公里 (位於花蓮縣鳳林鎮)(花蓮縣鳳林鎮)
小區域有感地震,2024/4/14 11:08,121.799,24.2232,3.3,17.2,花蓮縣政府東北方  31.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 09:05,121.956,24.2962,3.6,18.1,花蓮縣政府東北方  48.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 07:36,121.846,24.1908,3.7,18.2,花蓮縣政府東北方  31.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 07:35,121.866,24.1893,3.7,20.2,花蓮縣政府東北方  33.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 07:23,121.867,24.2567,4,18.5,花蓮縣政府東北方  38.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 07:11,121.658,24.0642,3.8,29,花蓮縣政府北北東方  9.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/14 06:09,120.202,23.353,3.4,9.7,嘉義縣政府西南方  15.0  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/14 04:07,121.699,24.1282,3.4,14.6,花蓮縣政府北北東方  17.2  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/14 04:04,121.852,24.254,3.7,10.6,花蓮縣政府東北方  37.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 03:29,121.695,24.1237,3.5,14.7,花蓮縣政府北北東方  16.6  公里 (位於花蓮縣近海)(花蓮縣近海)
202,2024/4/14 02:39,120.196,23.3642,4.2,25,嘉義縣政府西南方  14.4  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/14 02:39,120.187,23.3647,3.7,8.7,嘉義縣政府西南方  15.0  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/14 01:59,121.587,23.8165,3.6,28,花蓮縣政府南方  19.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/14 00:35,121.722,23.9793,3.5,25.1,花蓮縣政府東方  10.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2024/4/14 00:18,120.202,23.3577,3.3,8.9,嘉義縣政府西南方  14.6  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
201,2024/4/13 22:26,121.572,24.0205,4.9,11.5,花蓮縣政府西北西方  5.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2024/4/13 20:55,121.995,24.0835,4.1,26.6,花蓮縣政府東北東方  39.5  公里 (位於臺灣東部海域)(臺灣東部海域)
200,2024/4/13 20:38,121.516,23.7402,4.4,7.5,花蓮縣政府南南西方  29.7  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/13 20:38,121.515,23.7522,3.3,7.5,花蓮縣政府南南西方  28.5  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2024/4/13 15:53,121.734,24.1903,3.2,5.9,花蓮縣政府北北東方  24.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2024/4/13 06:50,120.215,23.3635,3.3,10.5,嘉義縣政府西南方  13.3  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
小區域有感地震,2024/4/13 05:30,120.21,23.3598,3.5,9.7,嘉義縣政府西南方  13.9  公里 (位於嘉義縣義竹鄉)(嘉義縣義竹鄉)
